,datetime,temperature,x_axix,y_axix,z_axix
0,2021-10-09 10:38:32,95.23,5.35,-1.26,-8.01
1,2021-10-09 10:38:34,96.13,5.37,-1.44,-7.61
2,2021-10-09 10:38:36,95.13,6.11,-1.91,-7.12
3,2021-10-09 10:38:38,95.67,5.94,-1.28,-7.02
4,2021-10-09 10:38:40,95.7,5.88,-1.65,-7.34
5,2021-10-09 10:38:42,95.13,5.89,-1.6,-7.09
6,2021-10-09 10:38:44,95.85,6.0,-1.82,-7.22
7,2021-10-09 10:38:46,95.95,6.12,-1.8,-7.28
8,2021-10-09 10:38:48,95.27,5.86,-1.93,-7.15
9,2021-10-09 10:38:50,95.27,6.01,-2.01,-7.11
10,2021-10-09 10:38:52,95.09,5.85,-2.04,-6.86
11,2021-10-09 10:38:54,95.09,5.91,-2.02,-7.28
12,2021-10-09 10:38:56,96.06,5.86,-1.98,-7.18
13,2021-10-09 10:38:58,95.85,5.87,-2.0,-7.1
14,2021-10-09 10:39:00,95.95,6.09,-2.03,-7.2
15,2021-10-09 10:39:02,95.99,5.56,-0.81,-7.6
16,2021-10-09 10:39:04,95.81,5.81,-0.81,-7.44
17,2021-10-09 10:39:06,95.7,5.52,-1.34,-7.22
18,2021-10-09 10:39:08,96.1,5.25,-1.7,-7.52
19,2021-10-09 10:39:11,94.48,6.35,-1.0,-7.69
20,2021-10-09 10:39:15,95.56,6.9,-1.55,-6.89
21,2021-10-09 10:39:17,96.06,7.51,-1.42,-6.52
22,2021-10-09 10:39:19,94.66,5.72,-1.56,-5.71
23,2021-10-09 10:39:21,94.3,5.7,-1.66,-7.38
24,2021-10-09 10:39:23,94.59,6.79,-1.57,-7.41
25,2021-10-09 10:39:25,94.41,6.41,-1.56,-6.62
26,2021-10-09 10:39:27,94.95,6.06,-1.5,-6.76
27,2021-10-09 10:39:29,95.49,7.22,-1.51,-7.2
28,2021-10-09 10:39:31,95.99,7.06,-0.89,-5.98
29,2021-10-09 10:39:33,96.1,6.54,-1.02,-6.29
30,2021-10-09 10:39:35,95.7,6.77,-0.59,-6.68
31,2021-10-09 10:39:37,95.38,6.72,-0.45,-7.65
32,2021-10-09 10:39:39,96.46,6.77,-0.75,-6.69
33,2021-10-09 10:39:41,96.21,5.47,-0.98,-6.65
34,2021-10-09 10:39:43,95.09,5.75,-1.19,-7.61
35,2021-10-09 10:39:45,94.12,5.17,-1.01,-7.48
36,2021-10-09 10:39:47,93.9,5.69,-1.31,-8.52
37,2021-10-09 10:39:49,94.44,5.44,-1.12,-7.56
38,2021-10-09 10:39:52,94.66,5.33,-1.23,-7.7
39,2021-10-09 10:39:55,95.81,5.5,-1.32,-7.8
40,2021-10-09 10:39:57,96.28,5.46,-1.18,-7.66
