date,time,temperature,x_axix,y_axix,z_axix,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
10/09/2021,10:40:29 AM,97.21,5.57,-1.01,-7.64,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:40:32 AM,96.93,5.35,-1.11,-7.69,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:40:34 AM,97.07,5.69,-1.2,-7.79,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:40:36 AM,96.96,6.14,-1.1,-7.69,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:40:38 AM,97.07,6.97,-0.66,-7.0,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:40:40 AM,96.75,6.9,-0.73,-6.63,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:40:41 AM,96.64,6.89,-0.77,-6.51,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:40:43 AM,96.67,6.97,-0.84,-6.46,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:40:45 AM,96.67,6.95,-0.7,-6.41,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:40:47 AM,96.75,6.91,-0.85,-6.48,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:40:49 AM,96.46,6.95,-0.83,-6.35,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:40:54 AM,96.75,6.67,-0.79,-6.29,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:40:55 AM,96.82,5.84,-0.95,-6.64,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:40:57 AM,96.75,5.79,-0.75,-7.33,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:40:59 AM,96.89,5.62,-1.01,-7.39,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:41:02 AM,97.21,5.75,-1.12,-7.49,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:41:04 AM,97.25,5.92,-1.12,-7.44,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:41:06 AM,97.25,5.37,-1.04,-7.35,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:41:07 AM,97.36,5.51,-1.27,-7.7,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:41:09 AM,97.39,5.54,-1.39,-7.6,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:41:11 AM,97.21,5.59,-1.26,-7.59,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:41:13 AM,96.67,6.21,-1.41,-7.52,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:41:15 AM,97.39,6.8,-1.39,-7.13,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:41:17 AM,95.99,6.68,-1.31,-6.51,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:41:19 AM,96.64,6.56,-1.42,-6.6,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:41:20 AM,97.03,6.31,-1.29,-6.68,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:41:22 AM,96.78,6.41,-1.19,-7.06,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:41:24 AM,97.21,6.22,-1.13,-6.9,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:41:26 AM,97.18,6.65,-1.24,-6.99,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:41:28 AM,97.25,6.74,-1.1,-6.83,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:41:31 AM,97.36,6.61,-1.16,-6.66,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:41:35 AM,97.11,6.15,-1.1,-6.54,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:41:37 AM,97.21,5.86,-0.77,-7.42,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:41:39 AM,96.82,5.8,-0.93,-7.47,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:41:41 AM,96.96,5.85,-0.95,-7.44,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:41:43 AM,97.32,6.53,-0.94,-7.29,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:41:45 AM,97.21,6.84,-0.95,-6.83,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:41:47 AM,97.25,7.45,-0.86,-6.34,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:02 AM,96.75,7.08,-0.63,-5.57,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:04 AM,96.75,7.81,-1.16,-6.06,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:08 AM,96.46,7.29,0.01,-5.42,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:10 AM,95.52,7.02,0.7,-6.07,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:13 AM,96.64,7.77,0.16,-6.45,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:15 AM,96.24,7.63,-0.14,-5.41,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:16 AM,96.78,7.68,-0.25,-5.44,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:18 AM,96.93,7.55,-0.08,-5.73,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:20 AM,96.28,7.44,-0.22,-5.66,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:22 AM,95.92,7.59,-0.17,-5.81,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:24 AM,95.95,7.47,-0.38,-5.61,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:26 AM,96.1,7.38,-0.32,-5.73,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:28 AM,96.39,7.72,-0.15,-5.75,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:30 AM,96.13,7.62,-0.39,-5.53,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:32 AM,96.49,7.58,-0.28,-5.68,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:34 AM,96.24,7.61,-0.3,-5.69,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:36 AM,96.46,7.51,-0.39,-5.55,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:38 AM,96.06,7.54,-0.14,-5.82,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:40 AM,96.06,7.42,-0.17,-5.73,,,,,,,,,,,,,,,,,,,,,
